Distance,Velocity
1.305,45
1.522,45
1.743,45
2.035,45
2.24,45
2.5,45
2.75,45
3.02,55
3.21,55
3.41,60
3.62,60
3.81,60
3.99,65
4.18,65
4.37,65
4.68,75
