Distance,Velocity
1.29,50
1.505,50
1.67,50
1.88,50
2.07,50
2.28,50
2.47,50
2.58,50
2.80,50
2.97,50
3.19,50
3.16,50
3.48,50
3.70,60
3.89,60
4.10,60
4.31,60
4.4,60
4.6,60
4.8,60
5.03,60
5.47,60
5.6,70
5.8,70
6.0,70
6.2,70
6.4,70
