Distance,Angle
1.29,115
1.505,109
1.67,108
1.88,105
2.07,100
2.28,95.5
2.47,92.5
2.58,90.5
2.80,88.5
2.97,86.6
3.19,84
3.38,81.5
3.48,80.9
3.70,80.3
3.89,79.7
4.10,78.8
4.31,77.8
4.4,77.8
4.6,77.5
4.69,77.0
4.8,76.8
5.03,76.0
5.2,75.25
5.47,74.5
5.6,74
5.8,74
6.0,74
6.14, 73.75
6.2,73.71
6.4,73,65
