Distance,Velocity
1.29,50
1.505,50
1.67,50
1.88,50
2.07,50
2.28,60
2.47,60
2.58,60
2.80,60
2.97,60
3.19,70
3.16,75
3.48,75
3.70,75
3.89,75
4.10,75
4.31,78
4.4,78
4.6,78
4.8,78
5.03,80
5.47,85
